scenario,pair,horizon_h,frame,n_sat,n_time,dt_s,rmse_km,max_km,end_rmse_km,end_max_km,drift_rmse_km_per_day,drift_max_km_per_day,n_samples,notes
walker_24_6,two_body_vs_j2,1,inertial_TEME_compatible,24,31,120,7.6733277,18.370206,13.181197,18.370206,316.34872,440.88494,744,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j4,1,inertial_TEME_compatible,24,31,120,7.6689725,18.365849,13.173715,18.365849,316.16916,440.78038,744,"same KeplerianElements init; relative only"
walker_24_6,j2_vs_j4,1,inertial_TEME_compatible,24,31,120,0.021111042,0.036335773,0.036264441,0.036335773,0.87034658,0.87205856,744,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j2,6,inertial_TEME_compatible,24,181,120,45.723736,109.74893,79.08529,109.74893,316.34116,438.99573,4344,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j4,6,inertial_TEME_compatible,24,181,120,45.697785,109.72272,79.040407,109.72272,316.16163,438.8909,4344,"same KeplerianElements init; relative only"
walker_24_6,j2_vs_j4,6,inertial_TEME_compatible,24,181,120,0.12579798,0.21801008,0.21758645,0.21801008,0.87034578,0.87204034,4344,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j2,24,inertial_TEME_compatible,24,721,120,182.66844,440.11885,316.23605,438.14868,316.23605,438.14868,17304,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j4,24,inertial_TEME_compatible,24,721,120,182.56487,440.01417,316.05689,438.04602,316.05689,438.04602,17304,"same KeplerianElements init; relative only"
walker_24_6,j2_vs_j4,24,inertial_TEME_compatible,24,721,120,0.50266886,0.87202751,0.87034492,0.87202751,0.87034492,0.87202751,17304,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j2,72,inertial_TEME_compatible,24,2161,120,546.9507,1316.4724,946.03337,1315.7331,315.34446,438.57771,51864,"same KeplerianElements init; relative only"
walker_24_6,two_body_vs_j4,72,inertial_TEME_compatible,24,2161,120,546.64338,1316.152,945.5054,1315.4422,315.16847,438.48073,51864,"same KeplerianElements init; relative only"
walker_24_6,j2_vs_j4,72,inertial_TEME_compatible,24,2161,120,1.5076577,2.6160689,2.6110361,2.6160689,0.87034536,0.87202297,51864,"same KeplerianElements init; relative only"
starlink_tle_n20,sgp4_vs_j2_approx,1,TEME,20,31,120,10.210464,28.560002,9.3825904,27.250535,225.18217,654.01283,620,"J2 init from TLE mean elems (a via Kepler μ; M≈ν); epoch bias expected"
starlink_tle_n20,sgp4_arc_from_epoch,1,TEME,20,31,120,12389.11,12858.09,12389.11,12858.09,297338.64,308594.17,20,"NOT an error metric — chord length from epoch pos to horizon pos (orbital motion scale)"
starlink_tle_n20,sgp4_vs_j2_approx,6,TEME,20,181,120,15.283687,86.402861,24.125659,77.141967,96.502637,308.56787,3620,"J2 init from TLE mean elems (a via Kepler μ; M≈ν); epoch bias expected"
starlink_tle_n20,sgp4_arc_from_epoch,6,TEME,20,181,120,6988.6509,10005.482,6988.6509,10005.482,27954.604,40021.927,20,"NOT an error metric — chord length from epoch pos to horizon pos (orbital motion scale)"
starlink_tle_n20,sgp4_vs_j2_approx,24,TEME,20,721,120,46.117868,299.33021,78.352763,279.78281,78.352763,279.78281,14420,"J2 init from TLE mean elems (a via Kepler μ; M≈ν); epoch bias expected"
starlink_tle_n20,sgp4_arc_from_epoch,24,TEME,20,721,120,10354.46,13585.05,10354.46,13585.05,10354.46,13585.05,20,"NOT an error metric — chord length from epoch pos to horizon pos (orbital motion scale)"
starlink_tle_n20,sgp4_vs_j2_approx,72,TEME,20,2161,120,212.33482,1738.9313,449.47899,1738.9313,149.82633,579.64378,43220,"J2 init from TLE mean elems (a via Kepler μ; M≈ν); epoch bias expected"
starlink_tle_n20,sgp4_arc_from_epoch,72,TEME,20,2161,120,7512.3621,13494.273,7512.3621,13494.273,2504.1207,4498.091,20,"NOT an error metric — chord length from epoch pos to horizon pos (orbital motion scale)"
